subject.ID,Anterior_hippocampus,Posterior_hippocampus,MISC,Meninges_PHC,ERC,Br35,Br36,PHC,ColSul,OTSul,Meninges
sub-1000173_ses-NAPBL00_run-001_T1w,2277,1670.25,246.75,176,740.25,687.25,1589.5,948.75,314,424.75,393.5
sub-1000173_ses-NAPEN00_run-001_T1w,2218.5,1663.5,244.25,156.25,775.75,686.25,1594.5,926.75,303.75,431.75,354.25
sub-1000173_ses-NAPFU03_run-001_T1w,2187.25,1635.5,265,161.5,735.75,704,1509.5,920.25,350.75,419,394.5
sub-1000173_ses-NAPFU12_run-001_T1w,2182.75,1592.5,250.75,174,769.75,663.75,1548.25,901.25,310.25,416.25,403.75
sub-1002928_ses-PREBL00_run-001_T1w,1894,1677,110.5,204.25,809,715.25,2199.75,819,241,289.25,436.5
sub-1002928_ses-PREEN00_run-001_T1w,1881.5,1691.25,126.75,201.5,803.75,670.25,2259.5,875.75,250.75,267.25,424.75
sub-1004359_ses-PREBL00_run-001_T1w,1750.5,1801.75,116.75,151.25,547.75,670,1874,1027.25,249.5,285.5,335.5
sub-1004359_ses-PREEN00_run-001_T1w,1724.75,1823.75,100.5,159,591.5,645.5,1945.75,1040.75,240,252.25,308.5
sub-1004359_ses-PREFU12_run-001_T1w,1738.5,1797.25,108.5,186.75,578.25,678.25,1895.25,1052.25,247.5,287,379.75
sub-1004359_ses-PREFU24_run-001_T1w,1703.75,1775,109.5,206,566.75,580,1818.5,1047,260.5,274,368.5
sub-1004359_ses-PREFU36_run-001_T1w,1691,1765.75,133,175.75,528.75,648,1815.25,1015.5,243.25,252,342.75
sub-1016072_ses-PREBL00_run-001_T1w,1846.5,1776.5,121.5,184.75,663.75,704,2115.25,1208,378.75,166.75,353.5
sub-1016072_ses-PREEN00_run-001_T1w,1843.75,1786,105,173.75,687.5,677,2099.5,1179.75,401,168,326.25
sub-1016072_ses-PREFU12_run-001_T1w,1838,1806.75,119.25,171.25,703.25,681.25,2067.75,1199.75,408.25,166.75,332.5
sub-1016072_ses-PREFU24_run-001_T1w,1828.5,1791.25,122.75,173.5,696.25,660.5,2091.5,1205,395.5,192.75,318
sub-1031654_ses-PREBL00_run-001_T1w,1777.75,1428.25,133.75,83.25,654.5,594.75,2318.5,824.5,695.25,108.25,339.5
sub-1031654_ses-PREEN00_run-001_T1w,1742.25,1437,129.5,89.25,659.25,570,2250,821.25,729.5,96,385.75
sub-1072774_ses-PREBL00_run-001_T1w,1678.25,1687.25,140.75,80.75,645,492,2024.75,962.5,289.5,288.75,399
sub-1072774_ses-PREEN00_run-001_T1w,1704.25,1629.25,147.75,106.5,663.5,528.5,2027,988.25,303.75,285.75,351.25
sub-1072774_ses-PREFU12_run-001_T1w,1679,1663.75,146,98.75,619.25,494.25,1915.5,943.75,357.5,290,404
sub-1076159_ses-NAPBL00_run-001_T1w,1644.75,1448.25,166.25,87.75,512.5,567.5,2072.75,1028.75,806.25,175,354.25
sub-1076159_ses-NAPEN00_run-001_T1w,1627,1423.5,164,79.25,531.25,612,2173,1019.25,791.75,213.75,366.25
sub-1076159_ses-NAPFU03_run-001_T1w,1609,1459,158,88.5,553.75,575.5,2148.5,1016.5,742.25,187,370.25
sub-1076159_ses-NAPFU12_run-001_T1w,1608,1410.25,169,74.25,530,588.25,2128.25,980.25,792,194.25,348.75
sub-1076159_ses-NAPFU24_run-001_T1w,1548.75,1441.5,140,76.5,531.75,571.75,2133,1006,807,208.75,363.25
sub-1076159_ses-NAPFU36_run-001_T1w,1557.25,1393.25,157.25,81.5,524.5,574.5,2124,989.75,817,201,351.75
sub-1076159_ses-NAPFU48_run-001_T1w,1547,1377.5,176,82.75,482.25,559.5,2073.25,990.5,843.25,169.5,341.25
sub-1121981_ses-NAPBL00_run-001_T1w,1599.25,1445.25,84.25,83,561.5,492.5,1853.75,793,589.75,256.75,339
sub-1121981_ses-NAPEN00_run-001_T1w,1606.5,1434.25,73.75,87.5,591.5,485.5,1915.75,797.5,610.5,244.75,331.75
sub-1121981_ses-NAPFU03_run-001_T1w,1570,1422.5,90,90,560.75,481,1800,783,620.25,248,322.25
sub-1154932_ses-PREBL00_run-001_T1w,1754,1855.5,176,242.5,558,651,2734.5,973,416.25,380.5,400.5
sub-1154932_ses-PREEN00_run-001_T1w,1724.25,1862.25,170.25,244,549.75,668,2700.25,1009.75,423.75,365.5,447.5
sub-1154932_ses-PREFU12_run-001_T1w,1784.5,1850.25,190.5,251.75,567.25,640.75,2624.75,984.5,445.5,407.25,444.5
sub-1176949_ses-PREBL00_run-001_T1w,1590.75,1690.75,5,72.75,516.25,683.25,2605.75,928.5,270.25,118.75,302
sub-1176949_ses-PREEN00_run-001_T1w,1624,1702,8.5,68.25,576,676.25,2561,967.25,313.5,139.75,227.75
sub-1176949_ses-PREFU12_run-001_T1w,1564,1671.25,5.75,64.25,531.25,645.75,2568,920,319.5,162.25,282
sub-1177880_ses-NAPBL00_run-001_T1w,1616,1664.5,79,209.5,514.25,817.5,2424.5,1389.75,502.25,215.25,391.25
sub-1177880_ses-NAPEN00_run-001_T1w,1650,1598.75,81.5,190,509,817.25,2365.75,1324,495.75,206.5,373.25
sub-1177880_ses-PREFU12_run-001_T1w,1547,1607.5,31.75,171,514.5,798.75,2578,1388,482.5,192.75,357.25
sub-1177880_ses-PREFU24_run-001_T1w,1457,1583.5,89.75,238.75,470.5,781.5,2416.5,1333.5,483.25,214.75,406
sub-1177880_ses-PREFU36_run-001_T1w,1453.75,1541.25,79,229.75,489.5,719.25,2208.25,1326.25,526,259.25,413.5
sub-1177880_ses-PREFU48_run-001_T1w,1425.25,1511.75,91.25,223.75,464,748.25,2325.5,1297.5,497.25,217.25,401
sub-1263509_ses-PREBL00_run-001_T1w,1707.75,1657,99.5,141.25,542,613,2387.75,883.5,215,390.5,370.5
sub-1263509_ses-PREEN00_run-001_T1w,1660.25,1667.5,90.75,130,524.5,597,2497.25,904.25,202.75,347.25,378.75
sub-1283278_ses-PREBL00_run-001_T1w,1624.75,1923.75,33.75,153,669,651,2433.75,1116.75,390,157,389
sub-1283278_ses-PREEN00_run-001_T1w,1617.75,1897.25,27.5,145.75,701,606,2464,1099.75,416.5,189.5,382.75
